check,passed
source/how-did-i-generate-it/rsi/scripts/evaluate_discovery.py,True
source/rsi/tools/discovery_run.py,True
source/rsi/tools/discovery.py,True
source/rsi/experiments/tabular-discovery/proposer.py,True
source/rsi/experiments/tabular-discovery/engine.py,True
source/how-did-i-generate-it/rsi/scripts/check_online_discovery.py,True
source/rsi/experiments/tabular-discovery/round_robin.py,True
source/rsi/experiments/tabular-discovery/greedy.py,True
source/rsi/experiments/tabular-discovery/policies/probe_lineage.py,True
source/rsi/experiments/tabular-discovery/policies/quality_stop.py,True
source/rsi/experiments/tabular-discovery/policies/broad_stop.py,True
data/public/task-2101.npz,True
data/evaluator/task-2101.npz,True
data/public/task-2102.npz,True
data/evaluator/task-2102.npz,True
data/public/task-2103.npz,True
data/evaluator/task-2103.npz,True
data/public/task-2104.npz,True
data/evaluator/task-2104.npz,True
choices_frozen,True
unique_task_arm,True
all_planned_arms,True
all_choices_reported,True
2101/broad/same_public_data,True
2101/broad/final_absent_from_rollout,True
2101/broad/disjoint_rows,True
2101/broad/fixed_sizes,True
2101/broad/tree_identity,True
2101/broad/selected_by_selection,True
2101/broad/candidate_identity,True
2101/broad/actual_attempts,True
2101/broad/charged_time,True
2101/broad/actual_failures,True
2101/broad/online_checks,True
2101/broad/refit_succeeded,True
2101/broad/separate_refit_charge,True
2101/broad/final_row_ids,True
2101/broad/final_targets,True
2101/broad/finite_predictions,True
2101/broad/final_metric,True
2101/broad/normalized_loss,True
2101/broad/separate_utility,True
2101/greedy/same_public_data,True
2101/greedy/final_absent_from_rollout,True
2101/greedy/disjoint_rows,True
2101/greedy/fixed_sizes,True
2101/greedy/tree_identity,True
2101/greedy/selected_by_selection,True
2101/greedy/candidate_identity,True
2101/greedy/actual_attempts,True
2101/greedy/charged_time,True
2101/greedy/actual_failures,True
2101/greedy/online_checks,True
2101/greedy/refit_succeeded,True
2101/greedy/separate_refit_charge,True
2101/greedy/final_row_ids,True
2101/greedy/final_targets,True
2101/greedy/finite_predictions,True
2101/greedy/final_metric,True
2101/greedy/normalized_loss,True
2101/greedy/separate_utility,True
2101/lineage/same_public_data,True
2101/lineage/final_absent_from_rollout,True
2101/lineage/disjoint_rows,True
2101/lineage/fixed_sizes,True
2101/lineage/tree_identity,True
2101/lineage/selected_by_selection,True
2101/lineage/candidate_identity,True
2101/lineage/actual_attempts,True
2101/lineage/charged_time,True
2101/lineage/actual_failures,True
2101/lineage/online_checks,True
2101/lineage/refit_succeeded,True
2101/lineage/separate_refit_charge,True
2101/lineage/final_row_ids,True
2101/lineage/final_targets,True
2101/lineage/finite_predictions,True
2101/lineage/final_metric,True
2101/lineage/normalized_loss,True
2101/lineage/separate_utility,True
2101/evolved/same_public_data,True
2101/evolved/final_absent_from_rollout,True
2101/evolved/disjoint_rows,True
2101/evolved/fixed_sizes,True
2101/evolved/tree_identity,True
2101/evolved/selected_by_selection,True
2101/evolved/candidate_identity,True
2101/evolved/actual_attempts,True
2101/evolved/charged_time,True
2101/evolved/actual_failures,True
2101/evolved/online_checks,True
2101/evolved/refit_succeeded,True
2101/evolved/separate_refit_charge,True
2101/evolved/final_row_ids,True
2101/evolved/final_targets,True
2101/evolved/finite_predictions,True
2101/evolved/final_metric,True
2101/evolved/normalized_loss,True
2101/evolved/separate_utility,True
2101/broad-stop/same_public_data,True
2101/broad-stop/final_absent_from_rollout,True
2101/broad-stop/disjoint_rows,True
2101/broad-stop/fixed_sizes,True
2101/broad-stop/tree_identity,True
2101/broad-stop/selected_by_selection,True
2101/broad-stop/candidate_identity,True
2101/broad-stop/actual_attempts,True
2101/broad-stop/charged_time,True
2101/broad-stop/actual_failures,True
2101/broad-stop/online_checks,True
2101/broad-stop/refit_succeeded,True
2101/broad-stop/separate_refit_charge,True
2101/broad-stop/final_row_ids,True
2101/broad-stop/final_targets,True
2101/broad-stop/finite_predictions,True
2101/broad-stop/final_metric,True
2101/broad-stop/normalized_loss,True
2101/broad-stop/separate_utility,True
2102/greedy/same_public_data,True
2102/greedy/final_absent_from_rollout,True
2102/greedy/disjoint_rows,True
2102/greedy/fixed_sizes,True
2102/greedy/tree_identity,True
2102/greedy/selected_by_selection,True
2102/greedy/candidate_identity,True
2102/greedy/actual_attempts,True
2102/greedy/charged_time,True
2102/greedy/actual_failures,True
2102/greedy/online_checks,True
2102/greedy/refit_succeeded,True
2102/greedy/separate_refit_charge,True
2102/greedy/final_row_ids,True
2102/greedy/final_targets,True
2102/greedy/finite_predictions,True
2102/greedy/final_metric,True
2102/greedy/normalized_loss,True
2102/greedy/separate_utility,True
2102/lineage/same_public_data,True
2102/lineage/final_absent_from_rollout,True
2102/lineage/disjoint_rows,True
2102/lineage/fixed_sizes,True
2102/lineage/tree_identity,True
2102/lineage/selected_by_selection,True
2102/lineage/candidate_identity,True
2102/lineage/actual_attempts,True
2102/lineage/charged_time,True
2102/lineage/actual_failures,True
2102/lineage/online_checks,True
2102/lineage/refit_succeeded,True
2102/lineage/separate_refit_charge,True
2102/lineage/final_row_ids,True
2102/lineage/final_targets,True
2102/lineage/finite_predictions,True
2102/lineage/final_metric,True
2102/lineage/normalized_loss,True
2102/lineage/separate_utility,True
2102/evolved/same_public_data,True
2102/evolved/final_absent_from_rollout,True
2102/evolved/disjoint_rows,True
2102/evolved/fixed_sizes,True
2102/evolved/tree_identity,True
2102/evolved/selected_by_selection,True
2102/evolved/candidate_identity,True
2102/evolved/actual_attempts,True
2102/evolved/charged_time,True
2102/evolved/actual_failures,True
2102/evolved/online_checks,True
2102/evolved/refit_succeeded,True
2102/evolved/separate_refit_charge,True
2102/evolved/final_row_ids,True
2102/evolved/final_targets,True
2102/evolved/finite_predictions,True
2102/evolved/final_metric,True
2102/evolved/normalized_loss,True
2102/evolved/separate_utility,True
2102/broad-stop/same_public_data,True
2102/broad-stop/final_absent_from_rollout,True
2102/broad-stop/disjoint_rows,True
2102/broad-stop/fixed_sizes,True
2102/broad-stop/tree_identity,True
2102/broad-stop/selected_by_selection,True
2102/broad-stop/candidate_identity,True
2102/broad-stop/actual_attempts,True
2102/broad-stop/charged_time,True
2102/broad-stop/actual_failures,True
2102/broad-stop/online_checks,True
2102/broad-stop/refit_succeeded,True
2102/broad-stop/separate_refit_charge,True
2102/broad-stop/final_row_ids,True
2102/broad-stop/final_targets,True
2102/broad-stop/finite_predictions,True
2102/broad-stop/final_metric,True
2102/broad-stop/normalized_loss,True
2102/broad-stop/separate_utility,True
2102/broad/same_public_data,True
2102/broad/final_absent_from_rollout,True
2102/broad/disjoint_rows,True
2102/broad/fixed_sizes,True
2102/broad/tree_identity,True
2102/broad/selected_by_selection,True
2102/broad/candidate_identity,True
2102/broad/actual_attempts,True
2102/broad/charged_time,True
2102/broad/actual_failures,True
2102/broad/online_checks,True
2102/broad/refit_succeeded,True
2102/broad/separate_refit_charge,True
2102/broad/final_row_ids,True
2102/broad/final_targets,True
2102/broad/finite_predictions,True
2102/broad/final_metric,True
2102/broad/normalized_loss,True
2102/broad/separate_utility,True
2103/lineage/same_public_data,True
2103/lineage/final_absent_from_rollout,True
2103/lineage/disjoint_rows,True
2103/lineage/fixed_sizes,True
2103/lineage/tree_identity,True
2103/lineage/selected_by_selection,True
2103/lineage/candidate_identity,True
2103/lineage/actual_attempts,True
2103/lineage/charged_time,True
2103/lineage/actual_failures,True
2103/lineage/online_checks,True
2103/lineage/refit_succeeded,True
2103/lineage/separate_refit_charge,True
2103/lineage/final_row_ids,True
2103/lineage/final_targets,True
2103/lineage/finite_predictions,True
2103/lineage/final_metric,True
2103/lineage/normalized_loss,True
2103/lineage/separate_utility,True
2103/evolved/same_public_data,True
