row_id,actual,prediction
0,6,5.0
7,6,5.0
13,7,7.0
14,5,5.0
22,8,8.0
25,6,6.0
28,6,6.0
29,7,7.0
30,6,6.0
32,6,5.0
36,5,6.0
42,6,5.0
43,6,6.0
44,6,5.0
45,7,6.0
48,6,5.0
54,6,7.0
55,6,6.0
56,6,7.0
58,6,5.0
63,6,5.0
71,5,4.0
79,5,3.0
80,6,7.0
83,6,6.0
85,6,5.0
86,6,5.0
89,6,5.0
90,6,5.0
102,5,5.0
109,5,5.0
123,6,7.0
124,6,5.0
125,6,7.0
130,5,5.0
133,5,6.0
148,7,6.0
154,6,6.0
157,7,6.0
160,7,6.0
180,6,6.0
186,6,6.0
187,5,6.0
189,4,6.0
193,5,7.0
207,4,5.0
213,6,6.0
214,7,7.0
222,7,7.0
232,6,6.0
239,6,7.0
241,5,5.0
242,7,5.0
243,6,5.0
258,6,6.0
262,5,5.0
272,5,6.0
276,6,6.0
281,8,6.0
283,5,4.0
286,6,6.0
292,5,5.0
298,6,5.0
304,6,5.0
305,6,5.0
329,5,8.0
334,5,6.0
336,6,6.0
337,6,6.0
341,6,5.0
347,6,6.0
352,6,6.0
354,6,5.0
362,6,7.0
366,6,6.0
376,7,6.0
377,7,5.0
379,7,6.0
380,7,5.0
381,6,6.0
399,6,8.0
402,5,5.0
404,6,6.0
407,5,6.0
410,6,5.0
414,6,5.0
417,5,5.0
431,5,6.0
439,5,5.0
440,7,6.0
457,5,6.0
460,5,6.0
462,5,5.0
463,6,5.0
464,5,5.0
467,6,5.0
468,5,5.0
469,5,5.0
470,6,5.0
474,6,5.0
477,6,6.0
478,6,4.0
479,6,6.0
482,5,5.0
484,5,6.0
485,6,6.0
487,6,5.0
493,6,7.0
494,6,6.0
501,6,6.0
508,6,5.0
511,6,4.0
517,6,6.0
525,6,5.0
530,6,6.0
543,6,6.0
548,7,6.0
556,5,5.0
562,6,5.0
564,5,5.0
581,5,5.0
586,6,6.0
593,5,6.0
598,8,6.0
601,6,5.0
602,5,6.0
624,5,5.0
634,6,7.0
637,5,6.0
643,5,5.0
646,4,5.0
653,6,5.0
656,6,7.0
661,7,8.0
673,6,5.0
681,5,5.0
690,4,6.0
696,6,6.0
702,4,6.0
706,5,5.0
711,6,6.0
712,6,6.0
714,6,6.0
719,7,6.0
721,5,5.0
738,7,6.0
745,6,7.0
746,6,6.0
